No,Lat,Lon,Monthly Total Rainfall
1,8.467,39.833,135.3
2,10.577,34.354,86.5
3,7.876,39.622,127.4
4,7.017,39.407,488.2
5,6.417,39.833,17.7
6,7.104,39.784,348.3
7,7.617,38.983,183.9
8,7.03,39.98,147.3
9,7.45,40.767,188.3
10,7.876,39.622,217.8
11,6.057,37.558,93.3
12,5.767,36.55,102.4
13,5.333,37.433,15.9
14,6.28,37.77,98.3
15,6.305,36.841,115.3
16,7.149,37.168,221.6
17,12.54,37.059,385
18,13.142,37.898,288.3
19,11.867,37.995,379.2
20,12.521,37.432,255.7
21,12.775,36.414,261.1
22,11.73,38.468,303.8
23,11.929,36.874,358.4
24,10.661,36.793,389.4
25,11.595,37.385,264
26,10.974,36.499,385.3
27,11.434,36.846,283.8
28,10.326,37.739,252.9
29,10.651,38.162,236
30,11.074,37.89,297.6
31,10.245,38.108,250.4
32,10.757,42.578,114.6
33,9.4,42.033,90.9
34,9.141,40.159,126.6
35,9.967,42.533,198.1
36,8.809,40.525,160.4
37,10.15,40.633,164.2
38,5.9,43.58,0.8
39,9.3,42.083,83.6
40,9.333,42.783,73.3
41,6.733,44.3,1.5
42,9.233,40.75,144.5
43,9.966,40.539,128
44,7.85,34.43,341.4
45,8.45,36.333,326
46,8.233,35.1,421.6
47,7.65,34.417,287.8
48,8.25,34.583,461.1
49,8.133,35.533,328.2
50,8.33,33.95,351.7
51,7.75,35.467,140.3
52,6.95,35.567,320.6
53,7.667,36.817,229.5
54,8.067,36.95,399.4
55,8.981,38.799,301.3
56,9.019,38.748,364.2
57,10.033,39.033,210.9
58,8.985,37.84,153.9
59,8.929,39.423,190
60,8.331,38.554,221.3
61,9.633,39.5,187
62,8.99,37.317,272
63,9.83,39.15,292.8
64,9.767,38.733,311
65,10.183,38.717,421.1
66,7.567,37.854,185
67,8.118,37.936,332.9
68,10.5,39.85,321.1
69,10.315,39.66,253.7
70,8.859,39.919,92.7
71,8.55,39.283,196.5
72,8.083,39.9,146.7
73,9.218,39.55,330.7
74,8.55,37.983,285.2
75,7.933,38.7,84
76,7.065,38.483,88.1
77,6.817,38.083,107.8
78,6.35,38.617,175.5
79,5.484,37.868,43.7
80,6.367,38.3,157.7
81,5.65,38.233,107.2
82,3.55,39.033,6
83,5.417,39.567,19.2
84,7.85,38.191,172.1
85,6.81,37.73,222.3
86,4.88,38.1,11.9
87,8.75,36.5,483.3
88,10,34.517,304.5
89,9.1,35.55,247.6
90,8.92,36.16,295.9
91,8.517,34.8,135.1
92,9.867,36.617,364.3
93,9.167,35.783,274.9
94,9.5,35.45,374.9
95,9.083,36.463,314
96,9.571,37.121,265.3
97,10.8,35.083,166.3
98,11.203,39.217,363.8
99,11.197,40.015,320.1
100,10.983,39.767,247
101,11.084,39.718,291
102,10.62,40.32,159.7
103,11.723,41.01,125.5
104,12.067,41.917,52.2
105,12.039,39.04,338.6
106,10.743,38.757,238.9
107,11.76,41,135
108,11.59,39.221,328
109,10.579,39.437,292.8
